#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2455 2.9417E-04 1.0137E-04  -2.30   0.60 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=12.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 167  0.800404  3.7787  3.7199  0.6895  4.2249  3.3749  3.0443  2.9418  2.9222
 168  0.800659  3.7752  3.6988  0.6967  4.2214  3.3663  3.0254  2.9176  2.8941
 169  0.800908  3.7714  3.6764  0.7041  4.2206  3.3584  3.0063  2.8926  2.8646
 170  0.801154  3.7679  3.6549  0.7118  4.2198  3.3494  2.9862  2.8669  2.8348
 171  0.801395  3.7649  3.6349  0.7199  4.2163  3.3382  2.9654  2.8413  2.8056
 172  0.801631  3.7622  3.6157  0.7284  4.2103  3.3251  2.9441  2.8158  2.7768
 173  0.801857  3.7597  3.5967  0.7374  4.2028  3.3107  2.9219  2.7896  2.7477
 174  0.802074  3.7573  3.5782  0.7466  4.1939  3.2947  2.8989  2.7629  2.7181
 175  0.802280  3.7552  3.5601  0.7563  4.1834  3.2773  2.8749  2.7356  2.6883
 176  0.802476  3.7532  3.5423  0.7662  4.1713  3.2586  2.8503  2.7080  2.6583
 177  0.802663  3.7514  3.5252  0.7765  4.1574  3.2386  2.8249  2.6798  2.6281
 178  0.802841  3.7499  3.5085  0.7870  4.1420  3.2174  2.7989  2.6514  2.5978
 179  0.803013  3.7485  3.4923  0.7977  4.1251  3.1952  2.7723  2.6226  2.5674
 180  0.803178  3.7472  3.4764  0.8085  4.1079  3.1727  2.7455  2.5937  2.5369
 181  0.803338  3.7460  3.4608  0.8195  4.0896  3.1494  2.7183  2.5646  2.5063
 182  0.803519  3.7448  3.4430  0.8325  4.0673  3.1213  2.6860  2.5302  2.4703
 183  0.803699  3.7436  3.4252  0.8458  4.0437  3.0923  2.6528  2.4950  2.4337
 184  0.803877  3.7426  3.4075  0.8595  4.0188  3.0621  2.6189  2.4592  2.3966
 185  0.804054  3.7416  3.3899  0.8734  3.9925  3.0310  2.5844  2.4229  2.3592
 186  0.804229  3.7408  3.3725  0.8874  3.9655  2.9993  2.5496  2.3865  2.3216
 187  0.804404  3.7400  3.3552  0.9016  3.9372  2.9669  2.5143  2.3499  2.2839
 188  0.804577  3.7392  3.3379  0.9160  3.9083  2.9338  2.4786  2.3130  2.2460
 189  0.804751  3.7385  3.3207  0.9304  3.8788  2.9004  2.4428  2.2759  2.2080
 190  0.804923  3.7379  3.3035  0.9450  3.8485  2.8665  2.4066  2.2386  2.1699
 191  0.805094  3.7372  3.2865  0.9596  3.8177  2.8322  2.3704  2.2013  2.1319
 192  0.805266  3.7366  3.2695  0.9744  3.7864  2.7976  2.3339  2.1639  2.0937
 193  0.805437  3.7360  3.2525  0.9891  3.7548  2.7627  2.2973  2.1264  2.0554
 194  0.805607  3.7355  3.2356  1.0040  3.7227  2.7275  2.2605  2.0888  2.0172
 195  0.805777  3.7350  3.2187  1.0189  3.6902  2.6920  2.2235  2.0510  1.9788
 196  0.805946  3.7345  3.2017  1.0340  3.6573  2.6561  2.1861  2.0129  1.9400
 197  0.806114  3.7340  3.1845  1.0492  3.6240  2.6199  2.1484  1.9744  1.9010
 198  0.806281  3.7335  3.1674  1.0645  3.5902  2.5832  2.1105  1.9357  1.8617
 199  0.806446  3.7331  3.1501  1.0801  3.5556  2.5457  2.0717  1.8963  1.8218
 200  0.806608  3.7326  3.1323  1.0961  3.5203  2.5075  2.0321  1.8560  1.7809
 201  0.806767  3.7321  3.1142  1.1123  3.4844  2.4685  1.9919  1.8151  1.7393
